FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2319.0,CHINA MENGNIU DAIRY CO LTD,110000.0,Buy,HAITONG SECURITIES CO LTD,42018.0,42020.0,33.4955
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82.0,V1 GROUP LTD,1000000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,0.631
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,4500000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,3.4594
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,4000000.0,Sell,CHINA CONSTRUCTION BANK,42018.0,42020.0,3.1615
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826.0,TIANGONG INTERNATIONAL CO LTD,700000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,1.2676
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869.0,PLAYMATES TOYS LTD,400000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,1.647
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,3500000.0,Sell,CHINA CONSTRUCTION BANK,42018.0,42020.0,8.5307
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068.0,CHINA YURUN FOOD GROUP LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,3.1576
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,20000.0,Sell,CHINA CONSTRUCTION BANK,42018.0,42020.0,2.526
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900.0,CHINA ITS HOLDINGS CO LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,0.9844
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357.0,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,112000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,5.1339
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,150000.0,Sell,CHINA CONSTRUCTION BANK,42018.0,42020.0,5.9895
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899.0,OURGAME INTERNATIONAL HOLDINGS LTD,131000.0,Sell,HAITONG SECURITIES CO LTD,42018.0,42020.0,2.7515
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1918.0,SUNAC CHINA HOLDINGS LTD,2000000.0,Buy,HAITONG SECURITIES CO LTD,42019.0,42023.0,7.0933
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82.0,V1 GROUP LTD,1000000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,0.62
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,4000000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,3.4161
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1260000.0,Sell,CHINA CONSTRUCTION BANK,42019.0,42023.0,3.1069
